Date,Strategy_Drawdown,SPY_Drawdown
2021-02-26,-0.03133125637068124,-0.03127551154163233
2021-03-01,-0.011078094022655027,-0.007793329816716876
2021-03-02,-0.016989940660416814,-0.015535897457733427
2021-03-03,-0.02468989491074758,-0.028575848792837033
2021-03-04,-0.036406572970197226,-0.0405967995450105
2021-03-05,-0.02682253246398658,-0.022947175109969353
2021-03-08,-0.03983129301846777,-0.027811660973454888
2021-03-09,-0.02491143669578777,-0.013931128084156863
2021-03-10,-0.01542456689068017,-0.007793329816716654
2021-03-11,-0.0055914883455682185,0.0
2021-03-12,-0.004672720470676461,0.0
2021-03-15,0.0,0.0
2021-03-16,0.0,-0.0012616160511036423
2021-03-17,-0.0027704342674791382,0.0
2021-03-18,-0.015175692512826133,-0.014549501900134376
2021-03-19,-0.019620418299191478,-0.016373017026323544
2021-03-22,-0.012961300352576921,-0.008518731877178332
2021-03-23,-0.022718497208460087,-0.016322597633523173
2021-03-24,-0.029082707078426084,-0.021322864583990797
2021-03-25,-0.02703919907439667,-0.015817330952481612
2021-03-26,-0.016980931713543868,0.0
2021-03-29,-0.01773984278739582,-0.0005051625266774273
2021-03-30,-0.01825288328791963,-0.003156811954115879
2021-03-31,-0.013784590314967704,0.0
2021-04-01,-0.006002448419457074,0.0
2021-04-05,-0.0005366278629944654,0.0
2021-04-06,-0.002753579187773192,-0.0005905980172792313
2021-04-07,0.0,0.0
2021-04-08,0.0,0.0
2021-04-09,0.0,0.0
2021-04-12,0.0,0.0
2021-04-13,-0.00034438154575688884,0.0
2021-04-14,-0.00601104448509493,-0.0034149878156559677
2021-04-15,0.0,0.0
2021-04-16,-0.0006627641376726334,0.0
2021-04-19,-0.002913237437822458,-0.004913257816553607
2021-04-20,-0.010862007744477875,-0.012198768032493201
2021-04-21,-0.0012765073863028054,-0.00285196515434194
2021-04-22,-0.01406764322890941,-0.011959303193339488
2021-04-23,0.0,-0.0012462664863083228
2021-04-26,0.0,0.0
2021-04-27,0.0,-0.00021547862622595115
2021-04-28,0.0,-0.000502783461193923
2021-04-29,0.0,0.0
2021-04-30,-0.010811112356799657,-0.006570325436735636
2021-05-03,-0.0019963174653629956,-0.004427795882833596
2021-05-04,-0.00715783162184791,-0.010569677637355612
2021-05-05,-0.0032506982666691275,-0.010260401660507124
2021-05-06,0.0,-0.0023567513950089047
2021-05-07,0.0,0.0
2021-05-10,-0.008975263386578058,-0.009902253121362392
2021-05-11,-0.01888504970864624,-0.018738701611703323
2021-05-12,-0.033500629153512484,-0.03958579065457535
2021-05-13,-0.02253088059064845,-0.028048643233568704
2021-05-14,-0.00896441981335927,-0.013124127342947212
2021-05-17,-0.010377219347422528,-0.015635413539782594
2021-05-18,-0.015782519843824283,-0.02411633579944006
2021-05-19,-0.020188263135963225,-0.026674839719052934
2021-05-20,-0.00986671170136788,-0.016203961365684916
2021-05-21,-0.006700102455171719,-0.017009217054298142
2021-05-24,0.0,-0.006988377783271771
2021-05-25,-0.0043001070884771675,-0.009191587690509984
2021-05-26,-0.005554107666410291,-0.00722539527039423
2021-05-27,-0.009829762038093715,-0.006704065167269291
2021-05-28,-0.00433126246282356,-0.004927362887086839
2021-06-01,-0.004095660420978309,-0.005804064408689524
2021-06-02,0.0,-0.004240383723726038
2021-06-03,-0.0002441501996983675,-0.007936138107349722
2021-06-04,0.0,0.0
2021-06-07,0.0,-0.0009702657502915768
2021-06-08,-0.004027670853425147,-0.0007574088206117047
2021-06-09,-0.006197142941468781,-0.0022480258737531678
2021-06-10,-0.004995230612705792,0.0
2021-06-11,-0.004004912910845926,0.0
2021-06-14,-0.0038542842891270412,0.0
2021-06-15,-0.0087336077862179,-0.001834347946316317
2021-06-16,-0.011725991317371509,-0.007407388056484776
2021-06-17,-0.012296153468122961,-0.007736470416126018
2021-06-18,-0.030268861145869574,-0.021122431315486745
2021-06-21,-0.016895322621627074,-0.007109193184253404
2021-06-22,-0.010131278331061866,-0.001800771249803934
2021-06-23,-0.009571209089323962,-0.003003769733320505
2021-06-24,-0.0014182871004428943,0.0
2021-06-25,0.0,0.0
2021-06-28,0.0,0.0
2021-06-29,0.0,0.0
2021-06-30,0.0,0.0
2021-07-01,0.0,0.0
2021-07-02,0.0,0.0
2021-07-06,-0.0021991578686653135,-0.001821612620135804
2021-07-07,-0.0014898894438172272,0.0
2021-07-08,-0.014787559752517221,-0.008147876007277621
2021-07-09,-0.00013290069636540114,0.0
2021-07-12,0.0,0.0
2021-07-13,-0.0023272694856604215,-0.0034090414595950858
2021-07-14,-0.0036136117464998785,-0.0019218377155881816
2021-07-15,-0.007042694181126685,-0.005330804662244781
2021-07-16,-0.018891396079335987,-0.013132607398479101
2021-07-19,-0.0362595031374201,-0.027706369544833187
2021-07-20,-0.022321642563468358,-0.013773120619756996
2021-07-21,-0.00969422783928131,-0.00578823959307595
2021-07-22,-0.007854854373946063,-0.0037063480851069475
2021-07-23,-0.00031753414763213694,0.0
2021-07-26,0.0,0.0
2021-07-27,-0.0028490244313502666,-0.004557556766748738
2021-07-28,0.0,-0.004965932049011412
2021-07-29,0.0,-0.0008390524334661587
2021-07-30,-0.0064823234523579965,-0.005691333567576784
2021-08-02,-0.004461061614944195,-0.007777370633282876
2021-08-03,0.0,0.0
2021-08-04,-0.001585888040923411,-0.004918991307788723
2021-08-05,0.0,0.0
2021-08-06,0.0,0.0
2021-08-09,0.0,-0.0008135955691058738
2021-08-10,0.0,0.0
2021-08-11,-0.0028553713647909706,0.0
2021-08-12,0.0,0.0
2021-08-13,0.0,0.0
2021-08-16,0.0,0.0
2021-08-17,-0.003090650402952866,-0.0065553014942481
2021-08-18,-0.017746768834777438,-0.01742831746557283
2021-08-19,-0.0141706275798541,-0.015906985630230408
2021-08-20,-0.002202570441297569,-0.008076487601170856
2021-08-23,0.0,0.0
2021-08-24,-5.2085614560271054e-05,0.0
2021-08-25,0.0,0.0
2021-08-26,-0.005146853726924139,-0.0059031925180182965
2021-08-27,0.0,0.0
2021-08-30,-0.00011821643186693542,0.0
2021-08-31,-0.005146009194673562,-0.0014814556621587371
2021-09-01,-0.01086415531118412,-0.0009508365712644906
2021-09-02,-0.006497466956792097,0.0
2021-09-03,-0.004695605366667355,-0.00024268521815606903
2021-09-07,-0.010137633070835927,-0.003817351525981172
2021-09-08,-0.015106964409120405,-0.0050309213450522305
2021-09-09,-0.02530696649454689,-0.009289949907097528
2021-09-10,-0.03574148725987514,-0.017101151299537265
2021-09-13,-0.033728590760607635,-0.014585618762865793
2021-09-14,-0.037965882127502404,-0.0199033499111938
2021-09-15,-0.02964096555002449,-0.011716945816949709
2021-09-16,-0.03245937880740546,-0.013283656045265713
2021-09-17,-0.04103211564427334,-0.022895269866034407
2021-09-20,-0.0550174787883676,-0.0391876620761048
2021-09-21,-0.05325885979743494,-0.040095593685872455
2021-09-22,-0.046363846728725955,-0.030731623709274958
2021-09-23,-0.03610753273499179,-0.018955030651854332
2021-09-24,-0.036624593226372126,-0.017339021619968586
2021-09-27,-0.041270373199159605,-0.02015027511391343
2021-09-28,-0.05869748899058236,-0.03989609881894851
2021-09-29,-0.054070743667812726,-0.038280089787062876
2021-09-30,-0.06217768385332967,-0.05003476428021392
2021-10-01,-0.04996080236030265,-0.03874497894200857
2021-10-04,-0.07191457077130248,-0.05114147211545372
2021-10-05,-0.0568330216801054,-0.041268703991226396
2021-10-06,-0.05119246716517467,-0.0372841245994916
2021-10-07,-0.04109847136273148,-0.02896060371631004
2021-10-08,-0.041107169070309535,-0.030731623709274625
2021-10-11,-0.05163841803937219,-0.03774901375443773
2021-10-12,-0.0569599961491688,-0.040117655978431865
2021-10-13,-0.0581312953799108,-0.03666429634761226
2021-10-14,-0.038667281156990585,-0.020460225171925694
2021-10-15,-0.028594971854730478,-0.013000223856811766
2021-10-18,-0.020267515214724696,-0.010078227715197619
2021-10-19,-0.012701670149570243,-0.0024412250105905198
2021-10-20,-0.0106673560294267,0.0
2021-10-21,-0.005985657042769543,0.0
2021-10-22,-0.009273407772141029,-0.0010361404530362384
2021-10-25,-0.005755836286177041,0.0
2021-10-26,0.0,0.0
2021-10-27,-0.005553604232209297,-0.0044301729078927155
2021-10-28,0.0,0.0
2021-10-29,0.0,0.0
